发生样点纬度,发生样点经度,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Precipitation of Coldest Quarter,Precipitation of Wettest Month,Precipitation of Driest Quarter,Annual Precipitation,Annual Mean Temperature,Mean Temperature of Driest Quarter,Precipitation of Driest Month,Temperature Annual Range (BIO5-BIO6),Min Temperature of Coldest Month,Precipitation Seasonality (Coefficient of Variation),Precipitation of Wettest Quarter,Temperature Seasonality (standard deviation ×100),Max Temperature of Warmest Month,sd_poxiang,Isothermality (BIO2/BIO7) (×100),Mean Temperature of Warmest Quarter,Precipitation of Warmest Quarter,Mean Temperature of Coldest Quarter,NDVI,EVI,lai,lst,PET,sd_dem,sd_poxiang,sd_podu,label,year
35.088936,118.403073,10.024999618530272,42,232,42,803,13.337499618530272,0.466666579246521,12,35.79999923706055,-5.800000191,103.6727523803711,518,998.6357422,30,264.8055725097656,28.00279235839844,25.14999961853028,518,0.466666579246521,0.2963,0.180391304347826,0.0003869565217391,1.4801911111111112,32.98951985222638,71,264.8055725097656,2.563905715942383,1,2019
36.666395,117.07632,9.199999809265137,25,234,25,735,13.766666412353516,-0.083333336,7,37.20000076293945,-5.900000095,113.82072448730467,484,1067.81494140625,31.299999237060547,45,24.731182098388672,26.299999237060547,484,-0.083333336,0.2529,0.1545869565217391,,1.482843181818182,35.34610575564881,79,45,6.216868877410889,1,2019
36.652264,116.901057,9.300000190734863,22,228,22,712,13.80833339691162,0.0166666507720947,6,37.10000228881836,-5.900000095,114.94151306152344,472,1063.13818359375,31.200000762939453,97.12501525878906,25.06738471984864,26.31666755676269,472,0.0166666507720947,0.2718913043478261,0.1507521739130435,,1.4862142857142857,35.34064101229965,23,97.12501525878906,3.740084171295166,1,2019
36.678665,116.987106,9.06666660308838,29,236,29,749,14.100000381469728,0.216666579246521,9,37,-5.400000095,112.19989013671876,490,1069.228759765625,31.600000381469727,152.7446746826172,24.504505157470703,26.64999961853028,490,0.216666579246521,0.2522391304347826,0.1322304347826087,,1.4849636363636365,35.35627135497589,47,152.7446746826172,8.55834674835205,1,2019
36.680731,117.065233,9.199999809265137,22,228,22,713,14.016666412353516,0.1333332806825637,6,37.20000076293945,-5.599999905,114.5377960205078,470,1070.28955078125,31.600000381469727,303.2317199707031,24.731182098388672,26.58333206176757,470,0.1333332806825637,0.2480826086956521,0.1309826086956521,,1.4841363636363636,35.35572237181093,50,303.2317199707031,8.000713348388672,1,2019
36.554251,116.752101,9.649999618530272,19,217,19,677,13.491666793823242,-0.26666674,5,37.29999923706055,-6.5,115.77735900878906,452,1059.26611328125,30.799999237060547,288.4349365234375,25.871315002441406,25.96666717529297,452,-0.26666674,0.2802260869565217,0.1634652173913043,,1.4806571428571431,35.25282098687593,40,288.4349365234375,2.2025177478790283,1,2019
36.681258,117.526228,10.366666793823242,22,225,22,692,13.43333339691162,-0.449999958,6,38.20000076293945,-7,115.2333526611328,459,1066.2835693359375,31.200000762939453,349.6951599121094,27.13787078857422,25.933334350585938,459,-0.449999958,0.2682652173913044,0.1392826086956521,0.0003989130434782,1.4783976744186047,35.29955749049713,158,349.6951599121094,5.179785251617432,1,2019
36.978299,117.173722,9.94166660308838,17,210,17,637,13.362500190734863,-0.683333278,4,38.400001525878906,-7.199999809,119.24497985839844,435,1081.2474365234375,31.200000762939453,45,25.88975715637207,26.066665649414062,435,-0.683333278,0.2622826086956522,0.1457391304347826,0.0003608695652173,1.47675,35.48334975377289,19,45,0.9853842258453368,1,2019
36.289813,116.455865,10.041666984558104,26,204,26,654,13.71250057220459,0.1000000610947609,8,37.29999923706055,-6.099999905,110.49374389648438,424,1050.9500732421875,31.200000762939453,23.19858932495117,26.921358108520508,26.11666679382324,424,0.1000000610947609,0.2484173913043478,0.1432043478260869,,1.4743955555555557,35.09338020090425,48,23.19858932495117,5.2918806076049805,1,2019
37.309694,117.157165,10.47499942779541,16,192,16,574,13.295833587646484,-0.916666627,4,39.20000076293945,-7.699999809,123.47301483154295,405,1097.12939453125,31.5,248.55226135253903,26.721939086914062,26.183332443237305,405,-0.916666627,0.2649260869565217,0.1493391304347826,,1.4802767441860467,35.64953039083262,21,248.55226135253903,13.707801818847656,1,2019
