物种名称,发生样点经度,发生样点纬度,原始行政区名称
美国白蛾,116.391557,37.628225,吴桥县
美国白蛾,116.122767,38.189924,献县
美国白蛾,117.104514,38.053438,孟村县
美国白蛾,116.578322,38.084262,泊头市
美国白蛾,116.084412,38.685325,任丘市
美国白蛾,117.330043,38.372266,黄骅市
美国白蛾,116.099362,38.446656,河间市
美国白蛾,116.694544,39.502569,廊坊市安次区
美国白蛾,116.710667,39.52343,广阳区
美国白蛾,116.298696,39.438797,固安县
美国白蛾,116.50608,39.330983,永清县
美国白蛾,117.006072,39.763772,香河县
美国白蛾,116.653917,38.705232,大城县
美国白蛾,116.457628,38.873185,文安县
美国白蛾,116.98961,39.886569,大厂县
美国白蛾,116.391488,39.125238,霸州市
美国白蛾,117.078269,39.982933,三河市
美国白蛾,115.675208,37.735152,衡水市桃城区
美国白蛾,115.579392,37.550922,冀州区
美国白蛾,115.724365,37.514217,枣强县
美国白蛾,115.887498,37.802036,武邑县
美国白蛾,115.982119,38.041447,武强县
美国白蛾,115.725898,38.235313,饶阳县
美国白蛾,115.518918,38.234769,安平县
美国白蛾,115.965877,37.347873,故城县
美国白蛾,116.270558,37.692831,景县
美国白蛾,116.175424,37.862984,阜城县
美国白蛾,115.559576,38.001535,深州市
美国白蛾,115.91319,39.047603,雄安新区容城县
美国白蛾,116.108624,38.994825,雄县
美国白蛾,114.990321,38.516746,定州市
美国白蛾,115.217626,37.943239,辛集市
美国白蛾,122.35677,42.935105,通辽市科尔沁左翼后旗
美国白蛾,123.312202,44.126606,科尔沁左翼中旗※
美国白蛾,123.343937,41.665153,沈阳市苏家屯区
美国白蛾,123.449597,41.714729,浑南区
美国白蛾,123.584209,41.913071,沈北新区
美国白蛾,123.308062,41.793925,于洪区
美国白蛾,122.766159,41.517449,辽中区
美国白蛾,123.343701,42.727249,康平县
美国白蛾,123.440294,42.50108,法库县
美国白蛾,122.835964,41.985757,新民市
美国白蛾,121.525469,38.952998,大连市甘井子区
美国白蛾,121.261982,38.851742,旅顺口区
美国白蛾,121.782461,39.050503,金普新区
美国白蛾,121.938299,39.391565,普兰店区
美国白蛾,122.588487,39.272779,长海县
美国白蛾,121.979463,39.62701,瓦房店市
美国白蛾,122.965881,39.680825,庄河市
美国白蛾,122.944751,41.068901,鞍山市千山区
美国白蛾,122.436037,41.412866,台安县
美国白蛾,123.280933,40.290995,岫岩县
美国白蛾,122.685176,40.882548,海城市
美国白蛾,123.94504,41.883375,抚顺市顺城区
美国白蛾,123.899923,41.730094,抚顺县
美国白蛾,123.769081,41.299658,本溪市平山区
美国白蛾,123.767817,41.32931,溪湖区
美国白蛾,123.861747,41.343624,明山区
美国白蛾,123.744822,41.100273,南芬区
美国白蛾,125.361061,41.267048,桓仁县
美国白蛾,124.395577,40.136549,丹东市元宝区
美国白蛾,124.470005,40.20154,振安区
美国白蛾,81.270386,43.945353,合作区
美国白蛾,124.783674,40.731319,宽甸县
美国白蛾,124.152581,39.863193,东港市
美国白蛾,124.066873,40.45218,凤城市
美国白蛾,121.103445,41.109232,锦州市太和区
美国白蛾,122.126645,41.653552,黑山县
