epoch,train_loss,train_acc,val_loss,val_acc,val_auc
1,1.2780486205044914,0.4023148148148148,1.7342318244602368,0.6743055555555556,0.9513490494296577
2,1.079244361642529,0.5481481481481482,1.4298410985780798,0.6729166666666667,0.9533657794676806
3,1.0749076442683445,0.5321759259259259,1.3135293773982837,0.6722222222222223,0.9528152091254753
4,0.9767959345789516,0.531712962962963,1.3901557870533154,0.5048611111111111,0.9531133079847909
5,1.044420880429885,0.49699074074074073,1.2145947373431663,0.6722222222222223,0.9539619771863118
6,0.9226836281664231,0.5259259259259259,1.1319561108298923,0.6527777777777778,0.9553551330798479
7,0.9574253112077713,0.5185185185185185,1.2464366270148235,0.5541666666666667,0.9560060836501901
8,0.9225623484920052,0.5025462962962963,1.0399248625921167,0.6277777777777778,0.9621536121673003
9,0.8522852435708046,0.5611111111111111,0.8153050982433817,0.6520833333333333,0.9620684410646387
10,0.917096932144726,0.5414351851851852,0.9390168423238008,0.5923611111111111,0.9484653992395436
11,0.8756392006488407,0.5342592592592592,0.8602744159491166,0.6236111111111111,0.9575330798479088
12,0.8583254450384308,0.5664351851851852,0.8143436131270035,0.6368055555555555,0.9638114068441064
13,0.8218472972512245,0.58125,0.7959408630495486,0.6527777777777778,0.9666798479087452
14,0.8257777971379897,0.5886574074074075,0.7660810247711514,0.6618055555555555,0.9581019011406844
15,0.8135246559977531,0.5983796296296297,0.7824913781622181,0.6701388888888888,0.9644471482889734
16,0.8125855392392944,0.5993055555555555,0.7756257471830948,0.6701388888888888,0.9657673003802281
17,0.8302928134799004,0.6002314814814815,0.8985592671062635,0.5847222222222223,0.9564806083650189
18,0.9008194944437813,0.5407407407407407,0.8738939813945604,0.5847222222222223,0.9560577946768062
19,0.8606111288947218,0.5752314814814815,0.8151292489922565,0.6381944444444444,0.9599756653992395
20,0.8455944477635271,0.594212962962963,0.7999438047409058,0.625,0.9617825095057034
21,0.8404564042301739,0.6300925925925925,0.7868502684261488,0.6770833333333334,0.9626190114068441
22,0.8035889110144447,0.6439814814814815,0.7894365528355474,0.7069444444444445,0.9623969581749049
23,0.8318786432637888,0.6261574074074074,0.8085616153219471,0.7097222222222223,0.963412927756654
