epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,1.1018786070838806,0.3718718718718719,1.1296241794313704,0.24324324324324326,0.391304347826087,0.7104705565353713
2,1.0813957424390883,0.3843843843843844,1.103301105045137,0.7477477477477478,0.5647668393782384,0.7561912110523222
3,1.049774062065851,0.5755755755755756,0.9858452479044596,0.7237237237237237,0.551219512195122,0.760851459925534
4,0.9939761568629553,0.6496496496496497,0.9933516496703738,0.6801801801801802,0.5339168490153173,0.7372440231236528
5,0.9719186519819593,0.5980980980980981,0.9981062270346142,0.7297297297297297,0.5384615384615384,0.745419361160102
6,0.980513248178694,0.6701701701701702,0.9690815919921512,0.6561561561561562,0.5354969574036511,0.768359298451891
7,0.9705873671032134,0.6581581581581581,0.980623273622422,0.7087087087087087,0.5529953917050691,0.7550215559474819
8,0.9564809553206913,0.6581581581581581,0.9646199487504505,0.6606606606606606,0.5443548387096774,0.7694615912208504
9,0.9490696087716117,0.6361361361361362,0.9533120422136216,0.7102102102102102,0.5662921348314607,0.767110033313737
10,0.9530689744722276,0.6271271271271271,0.9749061834244501,0.6591591591591591,0.5376782077393075,0.7584509112286888
11,0.9553978216080439,0.6536536536536537,0.9672847532090687,0.6681681681681682,0.5405405405405405,0.7587326082696453
12,0.9352063328500778,0.6421421421421422,0.9664560102281117,0.6411411411411412,0.5248508946322068,0.7519718792866941
13,0.943347572334229,0.6266266266266266,0.9566520679564703,0.6636636636636637,0.5390946502057613,0.745933764452283
14,0.9439237486748469,0.6661661661661662,0.9538935933794294,0.6546546546546547,0.5344129554655871,0.7600676072898296
15,0.9342575082703243,0.6836836836836837,0.9817144813991728,0.6411411411411412,0.5171717171717172,0.7499142661179699
16,0.9318690668968928,0.6911911911911912,0.9647024103573391,0.6711711711711712,0.535031847133758,0.748334313149128
17,0.9175814711858356,0.6976976976976977,0.9839325859433129,0.6081081081081081,0.5084745762711864,0.7430922986478542
18,0.9349705671507215,0.6631631631631631,0.9850393136342367,0.6756756756756757,0.5404255319148936,0.7438761512835586
19,0.9405115341383313,0.7002002002002002,0.9673976671128046,0.7027027027027027,0.5285714285714286,0.7472932588673329
20,0.9192192232798017,0.6931931931931932,0.9612975659824553,0.6951951951951952,0.5417607223476298,0.7589040760337056
21,0.9109490305658371,0.6996996996996997,0.9894942925089881,0.6801801801801802,0.5256124721603563,0.7288972173231434
22,0.8834784021453251,0.7187187187187187,0.991684859707242,0.6621621621621622,0.5263157894736842,0.7115422300607486
23,0.8965891069836087,0.7052052052052052,0.9903892761185056,0.6696696696696697,0.5258620689655172,0.7272560258671369
24,0.902758170687963,0.6971971971971972,0.9865505723726182,0.6801801801801802,0.5298013245033112,0.7397119341563786
25,0.9136350173798818,0.6981981981981982,0.9965359738894871,0.6726726726726727,0.5260869565217391,0.7399691358024691
26,0.881525130498977,0.7057057057057057,1.006171581291017,0.6756756756756757,0.5242290748898679,0.7263129531648049
27,0.888262340946803,0.7142142142142142,0.9995791599864051,0.6606606606606606,0.517094017094017,0.7363560650597687
28,0.8705606891049279,0.7167167167167167,0.9952884969257173,0.6936936936936937,0.5299539170506913,0.7459827552420144
29,0.8661868288403466,0.7282282282282282,1.01262419848215,0.6906906906906907,0.5296803652968036,0.7389648246129727
