adcode,name,center,centroid,longitude,latitude
370983,肥城市,"[116.763703, 36.1856]","[116.737518, 36.10628]",116.763703,36.1856
371002,环翠区,"[122.116189, 37.510754]","[122.114066, 37.377303]",122.116189,37.510754
371003,文登区,"[122.057139, 37.196211]","[122.00443, 37.118594]",122.057139,37.196211
371082,荣成市,"[122.422896, 37.160134]","[122.404571, 37.11623]",122.422896,37.160134
371083,乳山市,"[121.536346, 36.919622]","[121.526454, 36.963576]",121.536346,36.919622
371102,东港区,"[119.457703, 35.426152]","[119.374789, 35.451344]",119.457703,35.426152
371103,岚山区,"[119.315844, 35.119794]","[119.19844, 35.284019]",119.315844,35.119794
371121,五莲县,"[119.206745, 35.751936]","[119.243496, 35.737456]",119.206745,35.751936
371122,莒县,"[118.832859, 35.588115]","[118.880292, 35.667313]",118.832859,35.588115
371302,兰山区,"[118.327667, 35.061631]","[118.284576, 35.199955]",118.327667,35.061631
371311,罗庄区,"[118.284795, 34.997204]","[118.267563, 34.92875]",118.284795,34.997204
371312,河东区,"[118.398296, 35.085004]","[118.51276, 35.128335]",118.398296,35.085004
371321,沂南县,"[118.455395, 35.547002]","[118.407078, 35.538035]",118.455395,35.547002
371322,郯城县,"[118.342963, 34.614741]","[118.322841, 34.625779]",118.342963,34.614741
371323,沂水县,"[118.634543, 35.787029]","[118.602502, 35.909224]",118.634543,35.787029
371324,兰陵县,"[118.049968, 34.855573]","[117.984382, 34.855816]",118.049968,34.855573
371325,费县,"[117.968869, 35.269174]","[117.943937, 35.245048]",117.968869,35.269174
371326,平邑县,"[117.631884, 35.511519]","[117.675793, 35.429117]",117.631884,35.511519
371327,莒南县,"[118.838322, 35.175911]","[118.883939, 35.208098]",118.838322,35.175911
371328,蒙阴县,"[117.943271, 35.712435]","[118.030018, 35.741507]",117.943271,35.712435
371329,临沭县,"[118.648379, 34.917062]","[118.658552, 34.880317]",118.648379,34.917062
371402,德城区,"[116.307076, 37.453923]","[116.382015, 37.434608]",116.307076,37.453923
371403,陵城区,"[116.574929, 37.332848]","[116.69097, 37.404672]",116.574929,37.332848
371422,宁津县,"[116.79372, 37.649619]","[116.806921, 37.681077]",116.79372,37.649619
371423,庆云县,"[117.390507, 37.777724]","[117.45604, 37.795352]",117.390507,37.777724
371424,临邑县,"[116.867028, 37.192044]","[116.894416, 37.22834]",116.867028,37.192044
371425,齐河县,"[116.758394, 36.795497]","[116.674022, 36.718429]",116.758394,36.795497
371426,平原县,"[116.433904, 37.164465]","[116.429175, 37.141844]",116.433904,37.164465
371427,夏津县,"[116.003816, 36.950501]","[116.030912, 37.010349]",116.003816,36.950501
371428,武城县,"[116.078627, 37.209527]","[116.084099, 37.237587]",116.078627,37.209527
371481,乐陵市,"[117.216657, 37.729115]","[117.139762, 37.66799]",117.216657,37.729115
371482,禹城市,"[116.642554, 36.934485]","[116.574493, 36.912571]",116.642554,36.934485
371502,东昌府区,"[115.980023, 36.45606]","[115.936051, 36.444026]",115.980023,36.45606
371503,茌平区,"[116.25335, 36.591934]","[116.174362, 36.597253]",116.25335,36.591934
371521,阳谷县,"[115.784287, 36.113708]","[115.869642, 36.144269]",115.784287,36.113708
371522,莘县,"[115.667291, 36.237597]","[115.546854, 36.133478]",115.667291,36.237597
371524,东阿县,"[116.248855, 36.336004]","[116.289605, 36.323061]",116.248855,36.336004
371525,冠县,"[115.444808, 36.483753]","[115.534922, 36.530226]",115.444808,36.483753
371526,高唐县,"[116.229662, 36.859755]","[116.250884, 36.832912]",116.229662,36.859755
371581,临清市,"[115.713462, 36.842598]","[115.774919, 36.776116]",115.713462,36.842598
371602,滨城区,"[118.020149, 37.384842]","[117.976101, 37.418297]",118.020149,37.384842
371603,沾化区,"[118.129902, 37.698456]","[118.087002, 37.819217]",118.129902,37.698456
371621,惠民县,"[117.508941, 37.483876]","[117.573808, 37.370839]",117.508941,37.483876
371622,阳信县,"[117.581326, 37.640492]","[117.567334, 37.60041]",117.581326,37.640492
371623,无棣县,"[117.616325, 37.740848]","[117.810487, 37.970041]",117.616325,37.740848
371625,博兴县,"[118.123096, 37.147002]","[118.220353, 37.183167]",118.123096,37.147002
371681,邹平市,"[117.736807, 36.87803]","[117.664379, 36.950506]",117.736807,36.87803
371702,牡丹区,"[115.470946, 35.24311]","[115.463927, 35.277985]",115.470946,35.24311
371703,定陶区,"[115.569601, 35.072701]","[115.622781, 35.097846]",115.569601,35.072701
371721,曹县,"[115.549482, 34.823253]","[115.547149, 34.82122]",115.549482,34.823253
371722,单县,"[116.08262, 34.790851]","[116.116373, 34.734309]",116.08262,34.790851
371723,成武县,"[115.897349, 34.947366]","[115.938579, 34.9842]",115.897349,34.947366
371724,巨野县,"[116.089341, 35.390999]","[116.032577, 35.272927]",116.089341,35.390999
371725,郓城县,"[115.93885, 35.594773]","[115.889066, 35.605203]",115.93885,35.594773
371726,鄄城县,"[115.51434, 35.560257]","[115.54601, 35.549011]",115.51434,35.560257
371728,东明县,"[115.098412, 35.289637]","[115.071342, 35.176461]",115.098412,35.289637
